"Name","Team","wRC+","playerid"
"Mike Trout","LAA","177","10155"
"Aaron Judge","NYY","163","15640"
"Yordan Alvarez","HOU","164","19556"
"Juan Soto","- - -","153","20123"
"Fernando Tatis Jr.","SDP","153","19709"
"Freddie Freeman","- - -","147","5361"
"Paul Goldschmidt","- - -","142","9218"
"Bryce Harper","- - -","139","11579"
"J.D. Martinez","- - -","139","6184"
"Mookie Betts","- - -","139","13611"
"Joey Votto","CIN","132","4314"
"Nolan Arenado","- - -","128","9777"
"Jose Altuve","HOU","142","5417"
"Ronald Acuna Jr.","ATL","134","18401"
"Kris Bryant","- - -","134","15429"
"Anthony Rendon","- - -","132","12861"
"Jose Ramirez","CLE","136","13510"
"Alex Bregman","HOU","139","17678"
"Christian Yelich","- - -","133","11477"
"Shohei Ohtani","LAA","137","19755"
"Charlie Blackmon","COL","117","7859"
"Justin Turner","LAD","134","5235"
"Nelson Cruz","- - -","136","2434"
"Pete Alonso","NYM","138","19251"
"Anthony Rizzo","- - -","130","3473"
"Giancarlo Stanton","- - -","134","4949"
"Vladimir Guerrero Jr.","TOR","134","19611"
"Josh Donaldson","- - -","132","5038"
"George Springer","- - -","135","12856"
"Will Smith","LAD","132","19197"
"Daniel Murphy","- - -","120","4316"
"Brandon Nimmo","NYM","134","12927"
"Yoenis Cespedes","NYM","130","13110"
"Jesse Winker","- - -","126","13590"
"Xander Bogaerts","BOS","124","12161"
"Adrian Beltre","TEX","119","639"
"Rhys Hoskins","PHI","125","16472"
"Trea Turner","- - -","125","16252"
"Bryan Reynolds","PIT","126","19326"
"Corey Seager","- - -","128","13624"
"Austin Riley","ATL","125","18360"
"Edwin Encarnacion","- - -","124","2151"
"Manny Machado","- - -","127","11493"
"Rafael Devers","BOS","123","17350"
"Jose Abreu","CHW","128","15676"
"Max Muncy","- - -","127","13301"
"Trevor Story","- - -","110","12564"
"Jeff McNeil","NYM","131","15362"
"Matt Olson","- - -","130","14344"
"Carlos Correa","- - -","129","14162"
"Bo Bichette","TOR","127","19612"
"Kyle Tucker","HOU","129","18345"
"Matt Carpenter","- - -","123","8090"
"Michael Brantley","- - -","123","4106"
"Brandon Belt","SFG","122","10264"
"Brandon Lowe","TBR","129","18882"
"Ryan Braun","MIL","117","3410"
"Michael Conforto","NYM","124","16376"
"Kyle Schwarber","- - -","120","16478"
"DJ LeMahieu","- - -","114","9874"
"Eloy Jimenez","CHW","124","17484"
"Luke Voit","- - -","123","14811"
"Nick Castellanos","- - -","118","11737"
"Nathaniel Lowe","- - -","125","19566"
