Player,Pitches,Appearances,Stuff+,Location+,Pitching+,CSW%,xwOBAcon,Z-Whiff%,Chase%
Jack Mayfield,3,1,212.9,86.8,128.6,33.3,0.188,NA,33.3
Josh Reddick,1,1,166.1,54,67.7,0,NA,NA,0
Mike Freeman,4,1,165.8,92.8,123.6,75,NA,NA,0
Andres Munoz,17,1,153.9,85.4,94.8,35.3,0.218,0,7.7
Stevie Wilkerson,12,1,142,88.9,94.2,25,0.592,33.3,42.9
Brett Phillips,1,1,139.2,90,83.6,0,NA,NA,0
Marwin Gonzalez,8,1,136.4,83.6,160.6,0,0.052,NA,42.9
Jacob deGrom,1226,15,133.6,105.5,116.8,35.9,0.316,46,30.6
Andrew Vasquez,27,2,130.4,92.1,109.2,33.3,0.156,40,16.7
Kaleb Ort,12,1,128.3,93.2,101.8,16.7,0.45,33.3,0
Blake Treinen,1088,72,127.4,102.9,110.2,29.1,0.286,27.7,24.3
Chaz Roe,22,1,127.3,95.7,106,31.8,NA,NA,20
Jake Cousins,532,30,127.3,95.3,109.2,37,0.36,38.3,25.1
Adam Cimber,1016,72,126.9,102.5,111.9,26,0.31,27.3,21.8
Corbin Burnes,2593,28,126.1,104.4,109.5,33.8,0.3,32.1,26.6
Jonathan Arauz,7,1,124.7,93.1,-3.8,14.3,NA,0,40
Nick Snyder,59,4,124.2,87.9,99.6,22,0.318,35.7,9.7
Tejay Antone,527,23,123.2,99.8,111.2,38,0.361,39.1,19.2
Gerrit Cole,2969,30,123.1,104.4,111.7,32.1,0.379,38.9,23.5
Liam Hendriks,1104,68,123,105.7,114.3,29.8,0.361,45.4,29.4
Spencer Strider,37,2,122.6,100,102.7,16.2,0.281,0,26.1
Ryan Pressly,943,64,122.4,106.9,111,33.4,0.339,26.2,26.8
Yohan Ramirez,436,25,121.7,89,103.2,33.3,0.319,39,22.3
Paul Sewald,1086,61,121.6,104.4,113.6,34,0.39,50,23.8
Tyler Rogers,1112,80,121.3,95.4,112.5,26.6,0.281,21.5,19.6
Aaron Loup,831,65,121.1,101.8,107.7,30.8,0.315,25.5,19
Matt Bush,69,4,120.7,87.5,92.2,30.4,0.395,20,21.3
Andrew Knapp,4,1,120.5,76.3,98.5,0,0.12,0,0
Brusdar Graterol,522,34,120.2,105.1,106.7,26.1,0.33,23.5,21.8
Josh Hader,916,59,119.6,101.3,108.2,35.6,0.339,56.2,26.6
Craig Kimbrel,986,62,119.6,100.2,109.5,35.7,0.346,45.3,24.8
Trevor Bauer,1670,16,119.5,99.5,107.6,30.8,0.378,32.1,21.3
Chad Green,1309,67,119.5,106.3,112.3,29.9,0.375,45,23
Devin Williams,976,57,119.5,98.6,108.2,35.2,0.334,56.1,25.8
Jordan Romano,1030,62,119.3,98.5,107.7,29.9,0.31,40.1,22.1
Ryan Thompson,481,36,118.7,101.1,107.8,32.2,0.382,31.9,23.1
Adam Conley,296,17,118.6,100.5,103.3,29.1,0.3,27.3,27.2
Emmanuel Clase,1039,70,118.3,104,111,30.3,0.282,31,29.4
